ID,department,education,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,Project ID,Project Type,Start Date,Planned Completion Date,Actual Completion Date,Project Status,Priority,Task ID,Task Status,Assigned To,Hours Spent,Budget,Actual Cost,Delay Days,Cost Overrun %,Tasks Completed,Productivity Score,Training Effectiveness,Experience Index,Priority_Scaled,Workload Pressure
,Sales & Marketing,Bachelors,3,26,,1,0,0,44,,,,,,,,,,,,,,0,,0,,132,,,
,Sales & Marketing,,1,22,5,2,0,1,60,,,,,,,,,,,,,,0,,0,,60,10,,
,Technology,Bachelors,1,43,2,13,0,0,80,,,,,,,,,,,,,,0,,0,,80,26,,
,Finance,Bachelors,1,24,4,2,1,0,53,,,,,,,,,,,,,,0,,0,,53,8,,
,Technology,Bachelors,1,33,1,4,1,0,84,,,,,,,,,,,,,,0,,0,,84,4,,
,Procurement,Bachelors,2,30,4,2,0,1,67,,,,,,,,,,,,,,0,,0,,134,8,,
,Operations,Bachelors,2,40,5,6,1,0,60,,,,,,,,,,,,,,0,,0,,120,30,,
,Procurement,Bachelors,1,31,5,5,1,0,67,,,,,,,,,,,,,,0,,0,,67,25,,
,Analytics,Masters & above,1,29,4,4,1,0,83,,,,,,,,,,,,,,0,,0,,83,16,,
,Sales & Marketing,Bachelors,1,35,5,10,0,0,45,,,,,,,,,,,,,,0,,0,,45,50,,
,Technology,Bachelors,1,28,4,6,1,0,79,,,,,,,,,,,,,,0,,0,,79,24,,
,Sales & Marketing,Masters & above,1,38,1,7,0,0,44,,,,,,,,,,,,,,0,,0,,44,7,,
,Procurement,Masters & above,1,41,5,2,1,0,69,,,,,,,,,,,,,,0,,0,,69,10,,
,Operations,Bachelors,1,29,,1,0,0,61,,,,,,,,,,,,,,0,,0,,61,,,
,Operations,Bachelors,1,28,3,5,0,0,60,,,,,,,,,,,,,,0,,0,,60,15,,
,Procurement,Masters & above,1,38,4,10,0,0,69,,,,,,,,,,,,,,0,,0,,69,40,,
,Sales & Marketing,Masters & above,1,35,1,3,0,0,50,,,,,,,,,,,,,,0,,0,,50,3,,
,Operations,Bachelors,1,30,3,6,0,0,59,,,,,,,,,,,,,,0,,0,,59,18,,
,HR,Bachelors,1,27,,1,1,0,47,,,,,,,,,,,,,,0,,0,,47,,,
,Technology,Masters & above,1,29,2,5,0,0,84,,,,,,,,,,,,,,0,,0,,84,10,,
,Sales & Marketing,Masters & above,1,32,3,5,1,0,44,,,,,,,,,,,,,,0,,0,,44,15,,
,Technology,Masters & above,2,37,3,9,0,0,79,,,,,,,,,,,,,,0,,0,,158,27,,
,Operations,Masters & above,1,39,3,11,0,0,62,,,,,,,,,,,,,,0,,0,,62,33,,
,HR,Masters & above,1,45,5,12,0,0,54,,,,,,,,,,,,,,0,,0,,54,60,,
,Procurement,Masters & above,1,31,5,7,1,0,65,,,,,,,,,,,,,,0,,0,,65,35,,
,Operations,Masters & above,1,52,5,14,1,0,60,,,,,,,,,,,,,,0,,0,,60,70,,
,Sales & Marketing,Masters & above,1,34,5,2,1,0,48,,,,,,,,,,,,,,0,,0,,48,10,,
,Technology,Masters & above,1,31,3,5,0,0,78,,,,,,,,,,,,,,0,,0,,78,15,,
,Finance,Bachelors,1,36,4,9,0,0,62,,,,,,,,,,,,,,0,,0,,62,36,,
,Operations,Bachelors,1,41,3,13,0,0,61,,,,,,,,,,,,,,0,,0,,61,39,,
,Sales & Marketing,Masters & above,1,35,4,4,1,0,47,,,,,,,,,,,,,,0,,0,,47,16,,
,Operations,Masters & above,2,39,1,7,0,0,57,,,,,,,,,,,,,,0,,0,,114,7,,
,Technology,Bachelors,1,30,3,3,1,0,76,,,,,,,,,,,,,,0,,0,,76,9,,
,Sales & Marketing,Masters & above,1,46,4,4,1,1,45,,,,,,,,,,,,,,0,,0,,45,16,,
,HR,Masters & above,1,48,5,16,1,0,49,,,,,,,,,,,,,,0,,0,,49,80,,
,Legal,Bachelors,1,28,,1,1,0,61,,,,,,,,,,,,,,0,,0,,61,,,
,Technology,Bachelors,1,27,3,4,0,0,80,,,,,,,,,,,,,,0,,0,,80,12,,
,Sales & Marketing,Bachelors,1,30,2,4,1,0,48,,,,,,,,,,,,,,0,,0,,48,8,,
,Procurement,Bachelors,5,29,3,6,0,0,70,,,,,,,,,,,,,,0,,0,,350,18,,
,R&D,Bachelors,1,35,2,5,0,0,82,,,,,,,,,,,,,,0,,0,,82,10,,
,Operations,Masters & above,2,31,3,4,0,0,56,,,,,,,,,,,,,,0,,0,,112,12,,
,Sales & Marketing,Bachelors,1,26,5,2,0,0,53,,,,,,,,,,,,,,0,,0,,53,10,,
,HR,Bachelors,1,32,4,7,0,0,51,,,,,,,,,,,,,,0,,0,,51,28,,
,Operations,Bachelors,1,41,3,6,0,0,57,,,,,,,,,,,,,,0,,0,,57,18,,
,Sales & Marketing,,1,32,3,7,0,0,51,,,,,,,,,,,,,,0,,0,,51,21,,
,Operations,Masters & above,1,40,4,9,0,0,61,,,,,,,,,,,,,,0,,0,,61,36,,
,Procurement,Bachelors,2,28,3,2,1,0,69,,,,,,,,,,,,,,0,,0,,138,6,,
,HR,Below Secondary,1,24,3,3,0,0,53,,,,,,,,,,,,,,0,,0,,53,9,,
,Operations,Masters & above,1,38,3,5,0,0,60,,,,,,,,,,,,,,0,,0,,60,15,,
,Analytics,Bachelors,2,34,3,10,0,0,85,,,,,,,,,,,,,,0,,0,,170,30,,
,Legal,Bachelors,1,44,3,7,0,0,62,,,,,,,,,,,,,,0,,0,,62,21,,
,Technology,Bachelors,1,32,5,4,1,0,77,,,,,,,,,,,,,,0,,0,,77,20,,
,Technology,Bachelors,2,51,3,8,1,0,82,,,,,,,,,,,,,,0,,0,,164,24,,
,Sales & Marketing,Masters & above,1,35,1,4,0,0,50,,,,,,,,,,,,,,0,,0,,50,4,,
,Sales & Marketing,Bachelors,3,50,3,8,0,0,54,,,,,,,,,,,,,,0,,0,,162,24,,
,Sales & Marketing,,1,31,5,6,0,0,50,,,,,,,,,,,,,,0,,0,,50,30,,
,Technology,Bachelors,1,27,1,2,1,0,78,,,,,,,,,,,,,,0,,0,,78,2,,
,Finance,Bachelors,3,25,3,2,0,0,56,,,,,,,,,,,,,,0,,0,,168,6,,
,R&D,Masters & above,1,35,3,3,0,0,81,,,,,,,,,,,,,,0,,0,,81,9,,
,Procurement,Masters & above,1,56,3,3,0,0,68,,,,,,,,,,,,,,0,,0,,68,9,,
,Sales & Marketing,Bachelors,1,31,1,6,0,0,46,,,,,,,,,,,,,,0,,0,,46,6,,
,Analytics,Bachelors,1,35,4,4,0,0,85,,,,,,,,,,,,,,0,,0,,85,16,,
,R&D,Bachelors,1,33,3,3,0,0,83,,,,,,,,,,,,,,0,,0,,83,9,,
,Analytics,Bachelors,1,29,4,4,0,0,85,,,,,,,,,,,,,,0,,0,,85,16,,
,Sales & Marketing,Bachelors,1,27,4,3,0,0,52,,,,,,,,,,,,,,0,,0,,52,12,,
,HR,Below Secondary,1,25,3,1,0,0,53,,,,,,,,,,,,,,0,,0,,53,3,,
,Finance,Bachelors,2,27,3,2,0,0,76,,,,,,,,,,,,,,0,,0,,152,6,,
,Operations,Bachelors,1,40,4,3,1,0,60,,,,,,,,,,,,,,0,,0,,60,12,,
,Sales & Marketing,Masters & above,1,37,3,6,0,0,50,,,,,,,,,,,,,,0,,0,,50,18,,
,Sales & Marketing,Bachelors,1,43,5,2,0,0,48,,,,,,,,,,,,,,0,,0,,48,10,,
,Operations,Bachelors,1,30,5,8,0,0,59,,,,,,,,,,,,,,0,,0,,59,40,,
,Operations,Masters & above,1,38,3,3,0,0,56,,,,,,,,,,,,,,0,,0,,56,9,,
,Sales & Marketing,Bachelors,1,44,1,7,0,0,51,,,,,,,,,,,,,,0,,0,,51,7,,
,Sales & Marketing,Masters & above,1,44,3,14,0,0,50,,,,,,,,,,,,,,0,,0,,50,42,,
,Sales & Marketing,,2,25,3,2,0,0,46,,,,,,,,,,,,,,0,,0,,92,6,,
,Procurement,Bachelors,1,33,3,7,0,0,69,,,,,,,,,,,,,,0,,0,,69,21,,
,Analytics,Masters & above,1,47,1,17,0,0,86,,,,,,,,,,,,,,0,,0,,86,17,,
,Sales & Marketing,,1,35,1,7,0,0,50,,,,,,,,,,,,,,0,,0,,50,7,,
,Finance,Masters & above,1,30,3,2,0,0,62,,,,,,,,,,,,,,0,,0,,62,6,,
,Technology,Bachelors,1,40,1,3,1,0,77,,,,,,,,,,,,,,0,,0,,77,3,,
,Procurement,Bachelors,2,53,5,8,0,0,69,,,,,,,,,,,,,,0,,0,,138,40,,
,Operations,Bachelors,2,33,3,6,0,0,61,,,,,,,,,,,,,,0,,0,,122,18,,
,Technology,Masters & above,2,36,4,6,1,0,77,,,,,,,,,,,,,,0,,0,,154,24,,
,Technology,Masters & above,1,41,5,5,1,0,79,,,,,,,,,,,,,,0,,0,,79,25,,
,Technology,Bachelors,1,26,3,3,0,0,81,,,,,,,,,,,,,,0,,0,,81,9,,
,R&D,Masters & above,1,35,4,4,0,0,82,,,,,,,,,,,,,,0,,0,,82,16,,
,Sales & Marketing,Bachelors,1,34,5,6,0,0,49,,,,,,,,,,,,,,0,,0,,49,30,,
,HR,Bachelors,1,33,5,7,1,0,48,,,,,,,,,,,,,,0,,0,,48,35,,
,Operations,Masters & above,1,43,3,7,1,0,56,,,,,,,,,,,,,,0,,0,,56,21,,
,Sales & Marketing,Bachelors,2,27,,1,0,0,49,,,,,,,,,,,,,,0,,0,,98,,,
,Procurement,Bachelors,1,39,3,5,0,0,65,,,,,,,,,,,,,,0,,0,,65,15,,
,Operations,Bachelors,2,24,,1,1,0,59,,,,,,,,,,,,,,0,,0,,118,,,
,Analytics,Bachelors,1,36,5,7,0,0,83,,,,,,,,,,,,,,0,,0,,83,35,,
,Sales & Marketing,Bachelors,2,27,1,1,0,0,47,,,,,,,,,,,,,,0,,0,,94,1,,
,Finance,Masters & above,1,31,2,6,1,0,64,,,,,,,,,,,,,,0,,0,,64,12,,
,Sales & Marketing,Bachelors,3,27,5,2,1,1,50,,,,,,,,,,,,,,0,,0,,150,10,,
,Sales & Marketing,,1,22,,1,0,0,51,,,,,,,,,,,,,,0,,0,,51,,,
,Procurement,Masters & above,1,33,1,9,0,0,70,,,,,,,,,,,,,,0,,0,,70,9,,
,Technology,Bachelors,1,33,3,6,0,0,78,,,,,,,,,,,,,,0,,0,,78,18,,
,Legal,Bachelors,1,29,2,3,0,0,56,,,,,,,,,,,,,,0,,0,,56,6,,
,Technology,Bachelors,1,26,4,4,1,0,83,,,,,,,,,,,,,,0,,0,,83,16,,
,Operations,Bachelors,1,35,2,10,0,0,68,,,,,,,,,,,,,,0,,0,,68,20,,
,Sales & Marketing,Bachelors,1,23,,1,0,0,51,,,,,,,,,,,,,,0,,0,,51,,,
,Analytics,Bachelors,1,30,4,5,1,0,81,,,,,,,,,,,,,,0,,0,,81,20,,
,Technology,Masters & above,1,47,1,14,0,0,78,,,,,,,,,,,,,,0,,0,,78,14,,
,Sales & Marketing,Bachelors,1,48,3,21,0,0,45,,,,,,,,,,,,,,0,,0,,45,63,,
,Operations,Bachelors,1,28,3,5,1,0,63,,,,,,,,,,,,,,0,,0,,63,15,,
,Procurement,Bachelors,1,35,3,7,1,0,72,,,,,,,,,,,,,,0,,0,,72,21,,
,Technology,Masters & above,3,31,5,3,0,0,82,,,,,,,,,,,,,,0,,0,,246,15,,
,Technology,Masters & above,2,40,3,8,0,0,80,,,,,,,,,,,,,,0,,0,,160,24,,
,Sales & Marketing,Bachelors,1,26,3,4,0,0,49,,,,,,,,,,,,,,0,,0,,49,12,,
,Procurement,Bachelors,1,37,4,4,0,0,71,,,,,,,,,,,,,,0,,0,,71,16,,
,Operations,Bachelors,1,32,3,7,0,0,58,,,,,,,,,,,,,,0,,0,,58,21,,
,Operations,Bachelors,1,28,3,2,0,0,59,,,,,,,,,,,,,,0,,0,,59,6,,
,Analytics,Bachelors,3,29,4,6,1,0,86,,,,,,,,,,,,,,0,,0,,258,24,,
,Procurement,Bachelors,1,34,2,5,1,0,72,,,,,,,,,,,,,,0,,0,,72,10,,
,HR,Bachelors,1,27,5,4,0,0,49,,,,,,,,,,,,,,0,,0,,49,20,,
,Operations,,1,28,5,2,1,0,61,,,,,,,,,,,,,,0,,0,,61,10,,
,Operations,Bachelors,1,31,4,5,1,0,54,,,,,,,,,,,,,,0,,0,,54,20,,
,Procurement,Masters & above,2,36,5,3,1,0,75,,,,,,,,,,,,,,0,,0,,150,15,,
,Technology,Masters & above,1,36,1,7,0,0,80,,,,,,,,,,,,,,0,,0,,80,7,,
,Procurement,Bachelors,2,29,,1,0,0,67,,,,,,,,,,,,,,0,,0,,134,,,
,Sales & Marketing,Masters & above,1,44,4,5,0,0,49,,,,,,,,,,,,,,0,,0,,49,20,,
,Technology,Masters & above,1,36,4,3,1,1,97,,,,,,,,,,,,,,0,,0,,97,12,,
,Operations,Masters & above,1,52,3,18,0,0,54,,,,,,,,,,,,,,0,,0,,54,54,,
,Analytics,Bachelors,2,31,4,5,0,0,85,,,,,,,,,,,,,,0,,0,,170,20,,
,Procurement,Masters & above,1,36,3,7,0,0,67,,,,,,,,,,,,,,0,,0,,67,21,,
,Sales & Marketing,Bachelors,1,40,4,10,0,0,46,,,,,,,,,,,,,,0,,0,,46,40,,
,Sales & Marketing,Bachelors,2,27,,1,1,0,50,,,,,,,,,,,,,,0,,0,,100,,,
,Sales & Marketing,Bachelors,1,28,,1,0,0,50,,,,,,,,,,,,,,0,,0,,50,,,
,Finance,Masters & above,1,33,4,2,1,0,59,,,,,,,,,,,,,,0,,0,,59,8,,
,Analytics,,1,26,2,5,0,0,84,,,,,,,,,,,,,,0,,0,,84,10,,
,Sales & Marketing,Bachelors,1,52,3,9,0,0,50,,,,,,,,,,,,,,0,,0,,50,27,,
,Sales & Marketing,Bachelors,2,40,1,13,0,0,49,,,,,,,,,,,,,,0,,0,,98,13,,
,Operations,Masters & above,1,38,4,9,1,0,54,,,,,,,,,,,,,,0,,0,,54,36,,
,Sales & Marketing,Bachelors,2,29,1,1,1,0,47,,,,,,,,,,,,,,0,,0,,94,1,,
,Sales & Marketing,Masters & above,2,37,2,11,0,0,49,,,,,,,,,,,,,,0,,0,,98,22,,
,Procurement,Below Secondary,1,25,3,4,1,0,71,,,,,,,,,,,,,,0,,0,,71,12,,
,R&D,Masters & above,2,28,3,4,0,0,88,,,,,,,,,,,,,,0,,0,,176,12,,
,Sales & Marketing,Bachelors,1,37,3,9,0,0,51,,,,,,,,,,,,,,0,,0,,51,27,,
,Technology,Bachelors,1,30,3,7,0,0,77,,,,,,,,,,,,,,0,,0,,77,21,,
,Operations,Masters & above,1,39,4,4,1,0,60,,,,,,,,,,,,,,0,,0,,60,16,,
,Sales & Marketing,Bachelors,1,34,5,7,0,0,48,,,,,,,,,,,,,,0,,0,,48,35,,
,HR,Bachelors,1,26,,1,0,0,47,,,,,,,,,,,,,,0,,0,,47,,,
,Operations,Masters & above,1,39,3,7,0,0,55,,,,,,,,,,,,,,0,,0,,55,21,,
,Sales & Marketing,Bachelors,1,47,3,15,0,0,45,,,,,,,,,,,,,,0,,0,,45,45,,
,Operations,Bachelors,1,44,3,18,0,0,61,,,,,,,,,,,,,,0,,0,,61,54,,
,Technology,Bachelors,1,37,1,5,1,0,78,,,,,,,,,,,,,,0,,0,,78,5,,
,Finance,Masters & above,1,32,4,7,0,0,58,,,,,,,,,,,,,,0,,0,,58,28,,
,Operations,Masters & above,1,49,3,2,0,0,62,,,,,,,,,,,,,,0,,0,,62,6,,
,Procurement,Bachelors,2,27,,1,1,0,65,,,,,,,,,,,,,,0,,0,,130,,,
,Technology,Masters & above,1,42,1,9,0,0,78,,,,,,,,,,,,,,0,,0,,78,9,,
,Operations,Bachelors,1,48,3,9,0,0,61,,,,,,,,,,,,,,0,,0,,61,27,,
,Sales & Marketing,Bachelors,1,36,4,4,0,0,44,,,,,,,,,,,,,,0,,0,,44,16,,
,Procurement,Bachelors,1,25,5,2,1,0,69,,,,,,,,,,,,,,0,,0,,69,10,,
,Analytics,Bachelors,1,30,5,9,1,0,85,,,,,,,,,,,,,,0,,0,,85,45,,
,Analytics,Masters & above,2,30,3,8,0,0,84,,,,,,,,,,,,,,0,,0,,168,24,,
,Analytics,Bachelors,1,28,2,5,1,0,84,,,,,,,,,,,,,,0,,0,,84,10,,
,Procurement,Bachelors,1,30,3,4,0,0,71,,,,,,,,,,,,,,0,,0,,71,12,,
,Technology,Bachelors,1,50,3,4,0,0,75,,,,,,,,,,,,,,0,,0,,75,12,,
,Sales & Marketing,Bachelors,1,38,1,5,0,0,54,,,,,,,,,,,,,,0,,0,,54,5,,
,Sales & Marketing,Bachelors,1,30,4,4,0,0,45,,,,,,,,,,,,,,0,,0,,45,16,,
,Operations,Bachelors,1,32,5,4,1,0,64,,,,,,,,,,,,,,0,,0,,64,20,,
,Sales & Marketing,Bachelors,1,32,3,10,1,0,50,,,,,,,,,,,,,,0,,0,,50,30,,
,Sales & Marketing,Bachelors,1,29,3,5,0,0,50,,,,,,,,,,,,,,0,,0,,50,15,,
,Technology,Bachelors,1,34,3,7,0,0,85,,,,,,,,,,,,,,0,,0,,85,21,,
,Sales & Marketing,Bachelors,1,39,4,5,0,0,47,,,,,,,,,,,,,,0,,0,,47,20,,
,Technology,Bachelors,1,50,1,5,0,0,76,,,,,,,,,,,,,,0,,0,,76,5,,
,Sales & Marketing,Bachelors,2,29,5,7,0,1,50,,,,,,,,,,,,,,0,,0,,100,35,,
,HR,Bachelors,1,33,3,3,1,0,49,,,,,,,,,,,,,,0,,0,,49,9,,
,Analytics,Masters & above,1,34,3,8,0,0,87,,,,,,,,,,,,,,0,,0,,87,24,,
,Sales & Marketing,Masters & above,2,33,1,7,0,0,48,,,,,,,,,,,,,,0,,0,,96,7,,
,Procurement,Masters & above,1,31,3,4,0,0,66,,,,,,,,,,,,,,0,,0,,66,12,,
,Sales & Marketing,Masters & above,2,36,3,9,0,0,47,,,,,,,,,,,,,,0,,0,,94,27,,
,Sales & Marketing,Bachelors,1,30,5,5,0,0,44,,,,,,,,,,,,,,0,,0,,44,25,,
,Finance,Masters & above,1,38,4,5,1,0,69,,,,,,,,,,,,,,0,,0,,69,20,,
,R&D,Masters & above,2,28,5,5,1,0,87,,,,,,,,,,,,,,0,,0,,174,25,,
,Sales & Marketing,Masters & above,1,35,3,10,0,0,52,,,,,,,,,,,,,,0,,0,,52,30,,
,Sales & Marketing,Bachelors,3,39,2,10,0,0,46,,,,,,,,,,,,,,0,,0,,138,20,,
,Technology,Masters & above,1,34,4,9,0,0,76,,,,,,,,,,,,,,0,,0,,76,36,,
,Sales & Marketing,Bachelors,1,22,3,2,0,0,50,,,,,,,,,,,,,,0,,0,,50,6,,
,Technology,Below Secondary,2,24,,1,0,0,93,,,,,,,,,,,,,,0,,0,,186,,,
,Procurement,Bachelors,1,31,4,5,0,0,73,,,,,,,,,,,,,,0,,0,,73,20,,
,HR,Bachelors,2,28,5,5,1,0,47,,,,,,,,,,,,,,0,,0,,94,25,,
,HR,Masters & above,1,58,5,3,1,0,49,,,,,,,,,,,,,,0,,0,,49,15,,
,Sales & Marketing,Bachelors,2,46,1,14,0,0,52,,,,,,,,,,,,,,0,,0,,104,14,,
,Technology,Bachelors,1,29,2,5,0,0,82,,,,,,,,,,,,,,0,,0,,82,10,,
,Operations,Masters & above,1,46,5,8,1,0,57,,,,,,,,,,,,,,0,,0,,57,40,,
,Legal,Masters & above,1,43,3,9,1,0,58,,,,,,,,,,,,,,0,,0,,58,27,,
,Operations,Bachelors,1,33,4,3,0,0,58,,,,,,,,,,,,,,0,,0,,58,12,,
,Operations,Bachelors,1,30,4,5,0,0,62,,,,,,,,,,,,,,0,,0,,62,20,,
,Finance,Bachelors,1,38,5,2,0,0,59,,,,,,,,,,,,,,0,,0,,59,10,,
,Operations,Masters & above,1,39,2,11,0,0,58,,,,,,,,,,,,,,0,,0,,58,22,,
,Sales & Marketing,Masters & above,1,43,3,6,0,0,48,,,,,,,,,,,,,,0,,0,,48,18,,
,Technology,Masters & above,1,38,5,5,1,0,75,,,,,,,,,,,,,,0,,0,,75,25,,
,Finance,Bachelors,1,31,4,4,0,0,58,,,,,,,,,,,,,,0,,0,,58,16,,
,Sales & Marketing,Masters & above,1,39,1,10,0,0,55,,,,,,,,,,,,,,0,,0,,55,10,,
,Analytics,Bachelors,1,28,,1,0,0,84,,,,,,,,,,,,,,0,,0,,84,,,
,Operations,Bachelors,1,41,3,11,0,0,56,,,,,,,,,,,,,,0,,0,,56,33,,
,Procurement,Masters & above,1,44,3,16,0,0,69,,,,,,,,,,,,,,0,,0,,69,48,,
,Procurement,Bachelors,1,34,5,3,1,0,72,,,,,,,,,,,,,,0,,0,,72,15,,
,Operations,Bachelors,1,29,4,4,0,0,57,,,,,,,,,,,,,,0,,0,,57,16,,
,Procurement,Bachelors,1,46,3,7,0,0,68,,,,,,,,,,,,,,0,,0,,68,21,,
,Operations,Bachelors,1,32,4,6,1,0,59,,,,,,,,,,,,,,0,,0,,59,24,,
,Sales & Marketing,Bachelors,1,28,5,2,0,0,47,,,,,,,,,,,,,,0,,0,,47,10,,
,Procurement,Bachelors,1,28,5,2,1,0,69,,,,,,,,,,,,,,0,,0,,69,10,,
,Operations,Bachelors,1,37,3,9,1,0,62,,,,,,,,,,,,,,0,,0,,62,27,,
,Procurement,Masters & above,1,42,5,7,1,0,69,,,,,,,,,,,,,,0,,0,,69,35,,
,Operations,Masters & above,1,33,3,6,1,0,60,,,,,,,,,,,,,,0,,0,,60,18,,
,Operations,Bachelors,1,33,4,5,0,0,55,,,,,,,,,,,,,,0,,0,,55,20,,
,Finance,Bachelors,1,28,3,2,0,0,61,,,,,,,,,,,,,,0,,0,,61,6,,
,Sales & Marketing,Bachelors,1,30,5,2,1,0,52,,,,,,,,,,,,,,0,,0,,52,10,,
,Sales & Marketing,Bachelors,1,28,5,5,1,0,44,,,,,,,,,,,,,,0,,0,,44,25,,
,Procurement,Bachelors,1,47,3,7,1,0,71,,,,,,,,,,,,,,0,,0,,71,21,,
,Sales & Marketing,Masters & above,2,51,2,6,0,0,47,,,,,,,,,,,,,,0,,0,,94,12,,
,Sales & Marketing,Bachelors,1,40,2,4,1,0,48,,,,,,,,,,,,,,0,,0,,48,8,,
,Sales & Marketing,Bachelors,1,51,3,23,0,0,48,,,,,,,,,,,,,,0,,0,,48,69,,
,Sales & Marketing,Masters & above,1,44,3,4,1,0,48,,,,,,,,,,,,,,0,,0,,48,12,,
,Analytics,,1,28,4,2,0,0,83,,,,,,,,,,,,,,0,,0,,83,8,,
,Analytics,Bachelors,2,30,3,3,0,0,84,,,,,,,,,,,,,,0,,0,,168,9,,
,Sales & Marketing,Bachelors,1,34,3,3,1,0,47,,,,,,,,,,,,,,0,,0,,47,9,,
,Operations,Bachelors,2,34,5,7,0,0,64,,,,,,,,,,,,,,0,,0,,128,35,,
,Sales & Marketing,Bachelors,1,23,3,2,0,0,48,,,,,,,,,,,,,,0,,0,,48,6,,
,Operations,Bachelors,1,32,3,2,0,0,62,,,,,,,,,,,,,,0,,0,,62,6,,
,Analytics,Bachelors,1,29,5,2,0,0,85,,,,,,,,,,,,,,0,,0,,85,10,,
,Sales & Marketing,Bachelors,1,36,4,3,1,0,48,,,,,,,,,,,,,,0,,0,,48,12,,
,HR,Masters & above,1,50,4,7,1,0,45,,,,,,,,,,,,,,0,,0,,45,28,,
,Procurement,Masters & above,1,30,3,4,0,0,75,,,,,,,,,,,,,,0,,0,,75,12,,
,Procurement,Bachelors,1,27,,1,0,0,64,,,,,,,,,,,,,,0,,0,,64,,,
,Sales & Marketing,Masters & above,1,31,5,5,0,0,51,,,,,,,,,,,,,,0,,0,,51,25,,
,Sales & Marketing,,1,23,,1,0,0,53,,,,,,,,,,,,,,0,,0,,53,,,
,Sales & Marketing,Bachelors,1,37,5,3,0,0,49,,,,,,,,,,,,,,0,,0,,49,15,,
,Sales & Marketing,Masters & above,2,50,3,21,0,0,50,,,,,,,,,,,,,,0,,0,,100,63,,
,Procurement,Bachelors,3,25,3,2,0,0,68,,,,,,,,,,,,,,0,,0,,204,6,,
,Finance,Bachelors,1,25,1,2,0,0,60,,,,,,,,,,,,,,0,,0,,60,2,,
,Technology,Bachelors,1,22,,1,1,0,81,,,,,,,,,,,,,,0,,0,,81,,,
,Operations,Bachelors,1,31,3,5,0,0,62,,,,,,,,,,,,,,0,,0,,62,15,,
,Procurement,Masters & above,1,32,3,6,1,0,67,,,,,,,,,,,,,,0,,0,,67,18,,
,Sales & Marketing,Masters & above,1,45,5,5,1,0,49,,,,,,,,,,,,,,0,,0,,49,25,,
,Legal,Bachelors,1,42,1,7,0,0,59,,,,,,,,,,,,,,0,,0,,59,7,,
,HR,Bachelors,2,34,3,4,0,0,47,,,,,,,,,,,,,,0,,0,,94,12,,
,Sales & Marketing,Bachelors,1,36,2,6,0,0,49,,,,,,,,,,,,,,0,,0,,49,12,,
,Operations,Bachelors,1,52,3,6,0,0,65,,,,,,,,,,,,,,0,,0,,65,18,,
,Sales & Marketing,Bachelors,1,23,3,2,0,0,49,,,,,,,,,,,,,,0,,0,,49,6,,
,Sales & Marketing,Masters & above,1,35,5,4,1,0,49,,,,,,,,,,,,,,0,,0,,49,20,,
,Operations,Masters & above,1,37,3,10,0,0,61,,,,,,,,,,,,,,0,,0,,61,30,,
,Operations,Bachelors,3,32,1,4,0,0,58,,,,,,,,,,,,,,0,,0,,174,4,,
,HR,Bachelors,1,26,3,2,0,0,44,,,,,,,,,,,,,,0,,0,,44,6,,
,Procurement,Masters & above,1,45,4,16,1,0,70,,,,,,,,,,,,,,0,,0,,70,64,,
,Operations,Bachelors,2,32,3,5,1,0,61,,,,,,,,,,,,,,0,,0,,122,15,,
,Sales & Marketing,Bachelors,1,27,1,4,0,0,48,,,,,,,,,,,,,,0,,0,,48,4,,
,Procurement,Bachelors,1,28,,1,1,0,68,,,,,,,,,,,,,,0,,0,,68,,,
,Technology,Bachelors,1,26,4,2,1,0,76,,,,,,,,,,,,,,0,,0,,76,8,,
,R&D,Bachelors,1,32,3,6,1,0,85,,,,,,,,,,,,,,0,,0,,85,18,,
,Procurement,Bachelors,2,27,,1,0,0,73,,,,,,,,,,,,,,0,,0,,146,,,
,Technology,Masters & above,2,34,3,4,1,0,78,,,,,,,,,,,,,,0,,0,,156,12,,
,Procurement,Bachelors,1,55,3,18,0,0,74,,,,,,,,,,,,,,0,,0,,74,54,,
,Analytics,Bachelors,1,41,4,5,0,0,88,,,,,,,,,,,,,,0,,0,,88,20,,
,Sales & Marketing,Bachelors,1,52,4,3,1,0,52,,,,,,,,,,,,,,0,,0,,52,12,,
,Sales & Marketing,Bachelors,4,29,,1,0,0,51,,,,,,,,,,,,,,0,,0,,204,,,
,Finance,Bachelors,2,28,3,5,0,0,64,,,,,,,,,,,,,,0,,0,,128,15,,
,Technology,Bachelors,1,29,3,2,1,0,82,,,,,,,,,,,,,,0,,0,,82,6,,
,Procurement,Masters & above,2,41,5,11,1,0,70,,,,,,,,,,,,,,0,,0,,140,55,,
,Operations,Bachelors,1,50,3,7,0,0,58,,,,,,,,,,,,,,0,,0,,58,21,,
,Analytics,Bachelors,2,36,4,8,0,0,85,,,,,,,,,,,,,,0,,0,,170,32,,
,Technology,Bachelors,2,37,5,10,1,0,79,,,,,,,,,,,,,,0,,0,,158,50,,
,Operations,Bachelors,1,56,2,24,0,0,63,,,,,,,,,,,,,,0,,0,,63,48,,
,Operations,Masters & above,1,33,4,6,0,0,58,,,,,,,,,,,,,,0,,0,,58,24,,
,Procurement,Masters & above,3,33,5,5,1,0,73,,,,,,,,,,,,,,0,,0,,219,25,,
